# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00550000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19714425721   3.59e-14   -0.19831      1      1      0
  0.00000000000   0.19505825829  -1.89e-14    0.19390      2      2      0

# a:       0.639999999999999999986990 , b:      0.005999999999999999999539 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00600000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19723626019   1.41e-14   -0.19851      1      1      0
  0.00000000000   0.19496059928  -3.81e-14    0.19370      2      2      0

# a:       0.639999999999999999986990 , b:      0.006499999999999999999783 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00650000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19732802058   9.14e-14   -0.19870      1      1      0
  0.00000000000   0.19486269097  -6.06e-14    0.19350      2      2      0

# a:       0.639999999999999999986990 , b:      0.006999999999999999999604 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00700000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19741953865   4.16e-14   -0.19890      1      1      0
  0.00000000000   0.19476453307  -8.27e-15    0.19330      2      2      0

# a:       0.639999999999999999986990 , b:      0.007499999999999999999848 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00750000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19751081467   8.64e-14   -0.19910      1      1      0
  0.00000000000   0.19466612531  -7.85e-14    0.19309      2      2      0

# a:       0.639999999999999999986990 , b:      0.007999999999999999999668 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00800000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19760184892   5.32e-14   -0.19930      1      1      0
  0.00000000000   0.19456746738  -3.32e-14    0.19289      2      2      0

# a:       0.639999999999999999986990 , b:      0.008499999999999999999912 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00850000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19769264166   7.04e-14   -0.19949      1      1      0
  0.00000000000   0.19446855901  -2.81e-14    0.19269      2      2      0

# a:       0.639999999999999999986990 , b:      0.008999999999999999999309 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00900000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19778319317   3.75e-14   -0.19969      1      1      0
  0.00000000000   0.19436939989  -9.58e-14    0.19249      2      2      0

# a:       0.639999999999999999986990 , b:      0.009499999999999999999553 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.00950000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19787350371   8.69e-14   -0.19989      1      1      0
  0.00000000000   0.19426998975  -9.84e-14    0.19228      2      2      0

# a:       0.639999999999999999986990 , b:      0.009999999999999999999797 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.01000000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19796357355   9.05e-14   -0.20008      1      1      0
  0.00000000000   0.19417032830  -1.16e-13    0.19208      2      2      0

# a:       0.639999999999999999986990 , b:      0.010499999999999999999194 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.01050000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19805340295    3.1e-14   -0.20028      1      1      0
  0.00000000000   0.19407041523  -4.94e-14    0.19188      2      2      0

# a:       0.639999999999999999986990 , b:      0.010999999999999999999438 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.01100000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19814299219   3.52e-14   -0.20048      1      1      0
  0.00000000000   0.19397025027  -5.54e-14    0.19167      2      2      0

# a:       0.639999999999999999986990 , b:      0.011499999999999999999682 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.01150000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19823234153   8.52e-14   -0.20067      1      1      0
  0.00000000000   0.19386983312  -1.02e-13    0.19147      2      2      0

# a:       0.639999999999999999986990 , b:      0.011999999999999999999078 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
# acc:      1.000e-12 , lacc:       0.000e+00 , eqd:      1.000e-10
#            x0              y0        res      yhalf   orb#  eq to   @ i=
# a=  0.64000000000000000, b=  0.01200000000000000
# sln=1 , maxbrack=2   , meql=2   
  0.00000000000  -0.19832145123   1.52e-13   -0.20087      1      1      0
  0.00000000000   0.19376916349  -9.82e-14    0.19126      2      2      0

# a:       0.639999999999999999986990 , b:      0.012499999999999999999322 
# omega:   (m =   8) / (n =  13) 
# brakl0:  -1.0000000 , braku0:   1.0000000 , n_Braks:          1300
